,Ratio,QoM-pre,QoM-post
57.4,0.6582278481012658,0.08396997259408198,0.07638467212099126
57.5,0.6455696202531646,0.08361128101824875,0.076428313180201
57.6,0.6125,0.08147124070150452,0.07553268917871345
57.7,0.5875,0.08513194884198558,0.0761913171720233
57.8,0.5625,0.08480176858496281,0.07911790360200849
57.9,0.55,0.08321972529274983,0.07786580537452553
58.0,0.5625,0.08597157273799869,0.07920642081854978
58.1,0.6375,0.08877172383948331,0.08009802699144335
58.2,0.6538461538461539,0.08397118374582128,0.07810520839643767
58.3,0.6153846153846154,0.07999227004823276,0.07652390839285975
58.4,0.6282051282051282,0.07815144032322285,0.07788326033907031
58.5,0.5897435897435898,0.07734983341664659,0.07846133841888268
58.6,0.5822784810126582,0.07684233805796781,0.07826432736285463
58.7,0.5949367088607594,0.07762033582303207,0.079233821037465
58.8,0.569620253164557,0.07370866156048864,0.07748150575140295
58.9,0.5949367088607594,0.07889399528770877,0.07594254217661625
59.0,0.5569620253164557,0.07728969438259833,0.07438423621810022
59.1,0.5375,0.07781819532661184,0.07636733288594313
59.2,0.5125,0.07771207055308492,0.07518918347543257
59.3,0.55,0.07809712365462271,0.07585020748297738
59.4,0.6375,0.0768453740009929,0.07524964363033904
59.5,0.625,0.07803061192117272,0.07471836855808453
59.6,0.6625,0.07434349593343959,0.07105780667707172
59.7,0.6125,0.07781552333542151,0.07005156406490708
59.8,0.7,0.08114099020298399,0.07212624020247131
59.9,0.654320987654321,0.08044874721948495,0.07286723630856227
60.0,0.6172839506172839,0.08285367527518249,0.07400517594823362
60.1,0.6172839506172839,0.08254793121948911,0.07405379272663697
60.2,0.6049382716049383,0.07523237808741871,0.07286456955283437
60.3,0.6049382716049383,0.07436649922518178,0.07215082539045892
60.4,0.5625,0.07638467212099126,0.07293718567669007
60.5,0.5375,0.076428313180201,0.07662261652862744
60.6,0.5802469135802469,0.07553268917871345,0.07618806924697132
60.7,0.49382716049382713,0.0761913171720233,0.07730972006224969
60.8,0.5432098765432098,0.07911790360200849,0.07802827826286264
60.9,0.5125,0.07786580537452553,0.07811595255801419
61.0,0.475,0.07920642081854978,0.0773391980237394
61.1,0.475,0.08009802699144335,0.07936249633466488
61.2,0.379746835443038,0.07810520839643767,0.07929278321909654
61.3,0.379746835443038,0.07652390839285975,0.07929278321909654
61.4,0.45569620253164556,0.07788326033907031,0.07773313771060086
61.5,0.5189873417721519,0.07846133841888268,0.07841541413773201
61.6,0.5375,0.07826432736285463,0.07794471277049682
61.7,0.5375,0.079233821037465,0.07733941747664586
61.8,0.55,0.07748150575140295,0.07563635822683722
61.9,0.4875,0.07594254217661625,0.07615763306089397
62.0,0.4375,0.07438423621810022,0.07843221400271451
62.1,0.4375,0.07636733288594313,0.07709064381928361
62.2,0.5,0.07518918347543257,0.07338114666098475
62.3,0.4875,0.07585020748297738,0.07138271141401252
62.4,0.4875,0.07524964363033904,0.07444392685028739
62.5,0.5,0.07471836855808453,0.07697789610267082
62.6,0.5185185185185185,0.07105780667707172,0.07255375745778016
62.7,0.48148148148148145,0.07005156406490708,0.07350676401335007
62.8,0.4444444444444444,0.07212624020247131,0.07221152031793199
62.9,0.4691358024691358,0.07286723630856227,0.0715619442082759
63.0,0.5061728395061729,0.07400517594823362,0.0701046027571255
63.1,0.5308641975308642,0.07405379272663697,0.06914239494485414
63.2,0.5185185185185185,0.07286456955283437,0.07070169209936422
63.3,0.5061728395061729,0.07215082539045892,0.07100726284938173
63.4,0.5308641975308642,0.07293718567669007,0.07301863513211097
63.5,0.5308641975308642,0.07662261652862744,0.07347170744455585
63.6,0.5555555555555556,0.07618806924697132,0.07447337704134943
63.7,0.5925925925925926,0.07730972006224969,0.07300717315267126
63.8,0.5925925925925926,0.07802827826286264,0.07734362533245832
63.9,0.5625,0.07811595255801419,0.07934562494754004
64.0,0.575,0.0773391980237394,0.08254585358059113
64.1,0.575,0.07859976486464279,0.07662879550324513
64.2,0.5925925925925926,0.07929278321909654,0.07697524493791222
64.3,0.5802469135802469,0.07929278321909654,0.07402802337919702
64.4,0.5679012345679012,0.07697191565155748,0.07649158875130395
64.5,0.5679012345679012,0.07841541413773201,0.07833361339326417
64.6,0.5555555555555556,0.07824487671030661,0.07463737735076002
64.7,0.5432098765432098,0.07733941747664586,0.07199206858099007
64.8,0.5432098765432098,0.07563635822683722,0.07060763395586055
64.9,0.5555555555555556,0.0739920078407149,0.06949311361193647
65.0,0.5925925925925926,0.07843221400271451,0.07131642451990591
65.1,0.5802469135802469,0.07630464403460865,0.07028050450293245
65.2,0.6049382716049383,0.07338114666098475,0.07177572655568987
65.3,0.6049382716049383,0.07138271141401252,0.06962069062197122
65.4,0.5679012345679012,0.0747911178041952,0.06803788654256221
65.5,0.6049382716049383,0.07697789610267082,0.06814068072354224
65.6,0.6,0.0756603983808257,0.06756109546607292
65.7,0.6,0.07350676401335007,0.06621214305281206
65.8,0.5625,0.07221152031793199,0.06701960019138914
65.9,0.5625,0.07055547065082377,0.06769141740616758
