TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME
61.32,2.5,1,1,3,pause,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,61.32
65.84,4.5,1,1,3,pause,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,65.84
79.02,10.25,1,1,3,pause,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,79.02
88.75,13,1,1,3,close,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,88.26
95.79,17.5,1,1,4,dropin,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,95.78
111.57,25.625,1,1,1,trade,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111.57
115.11,27.625,1,1,1,trade,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,115.11
118.85,29.625,1,1,1,trade,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,118.85
133.16,37,1,1,2,trade,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,133.15
138.88,40,1,1,2,trade,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,138.88
146.17,44,1,1,1,drop,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,146.17
149.89,46,1,1,1,thin,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,149.89
151.87,47,1,1,0,thin,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,151.87
157.92,49.99,1,1,1,freeze,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,157.92
173.95,58.25,1,1,1,halt,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,173.95
176.16,59.25,1,1,1,pause,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,176.16
178.54,60.25,1,1,1,pause,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,178.54
180.72,61.25,1,1,1,pause,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,180.72
183.36,62.25,1,1,1,rest,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,183.36
193.03,66.25,1,1,1,pause,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,193.03
222.86,80.75,1,1,2,halt,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,222.86
230.30,84.25,1,1,2,halt,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,230.30
235.86,86.75,1,1,2,pause,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,235.34
238.46,87.5,1,1,2,pause,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,237.70
268.18,103.25,1,1,2,stop,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,268.18
281.95,109.25,1,1,1,rest,1,1,0,0,1,0,0,1,0,0,1,1,0,0,,1,,,1,,281.95
291.19,113.5,1,1,1,pass,0,0,1,1,0,0,0,0,1,,1,,,,,1,,,1,,291.19
295.26,115.45,1,1,1,lift,1,0,0,0,0,0,0,1,0,0,1,1,,,,,,,0,,295.26
307.43,121.5,1,1,1,thin,0,0,1,1,1,,,,1,1,1,,,,,,1,,0,,307.01
313.96,124.75,1,1,1,lift,1,0,0,0,1,0,0,1,,,,1,,,,,,,1,,313.45
333.65,135,1,1,1,thin,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,,333.65
352.44,145,1,1,0,lighten,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,,352.44
364.19,150.99,1,1,1,freeze,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,,364.19
371.90,155,1,1,1,thin,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,,1,,371.90
380.63,159.25,1,1,1,halt,1,1,0,,,,,1,,,,1,,,,,,1,1,,380.40
382.82,160.25,1,1,2,pause,1,1,,1,,,,1,,,,0,,,,1,,,1,0,382.82
385.20,161.25,1,1,2,pause,1,1,,1,,,,1,,,1,0,,,,,,,1,0,385.20
387.38,162.25,1,1,2,pause,1,1,,1,,,,1,,,1,0,,,,,,,1,0,387.38
390.12,163.25,1,1,2,pause,1,1,,1,,,,1,,,1,1,,,,,,,1,0,389.80
419.20,178,1,1,1,land,0,0,1,1,1,,,1,1,1,,1,,,,1,,,1,,419.20
427.21,181.99,1,1,1,halt,1,0,0,0,0,0,0,1,,,,1,,,,,1,,1,,427.21
430.68,183.5,1,1,2,freeze,1,1,0,1,,,,1,,,,,,,,1,,,1,,430.68
436.25,185.67,1,1,2,stop,1,0,,1,,,,1,,,1,1,,,,,,,1,,435.92
452.48,191.68,1,1,1,pause,1,0,0,0,1,,,,,,,1,,1,,,,1,1,,453.41
457.63,193.25,1,1,2,end,1,1,,1,,,,1,,,,1,,,,1,,,,1,457.63
488.95,24.33,1,2,0,calm,0,0,1,0,1,0,0,0,0,0,0,1,,,,1,,,0,,488.95
497.05,39.33,1,2,1,pullback,0,0,1,1,,,,,,1,,0,,,,1,,,1,,497.04
515.61,24.33,1,2,0,calm,0,0,1,0,1,0,0,0,0,0,1,1,,,,1,,,0,,515.61
523.71,39.33,1,2,1,pullback,0,0,1,1,,,,,,1,1,0,,,,1,,,1,,523.71
602.84,193.33,1,2,0,thin,0,0,1,0,1,0,0,0,1,,,1,,,,0,,,0,,602.84
619.75,224.33,1,2,0,calm,0,0,1,0,1,0,0,0,0,0,0,1,,,,1,,,0,,619.75
627.89,239.33,1,2,1,pullback,0,0,1,1,,,,,,1,,0,,,,1,,,1,,627.89
646.66,224.33,1,2,0,calm,0,0,1,0,1,0,0,0,0,0,1,1,,,,1,,,0,,646.66
654.77,239.33,1,2,1,pullback,0,0,1,1,,,,,,1,1,0,,,,1,,,1,,654.77
670.15,268,1,2,2,pause,1,1,0,1,,,,1,,,,,,,,1,,,1,,670.15
672.59,272.33,1,2,1,end,1,1,,,,,,1,,,1,,,,,,1,,1,1,672.59
716.28,2.99,1,3,0,lift,0,0,1,,,1,,,,1,,1,,,,1,,,0,,715.68
787.56,12.83,1,3,0,drift,,,1,,,,,1,,1,,1,,,,1,,,0,,787.01
819.74,17.45,1,3,2,pause,1,,,1,,,,1,,,,1,,,,1,,,0,,818.98
827.09,18.5,1,3,1,thin,,1,1,1,,1,,,,,,1,,,,1,,,1,,826.07
838.37,20,1,3,1,thin,,1,1,1,,1,,,,,,1,,,,1,,,1,,836.83
844.97,20.99,1,3,2,thin,1,,,1,,,,,,,,1,,,,1,,,1,,844.11
852.46,21.99,1,3,2,thin,1,,,1,,,,,,,,1,,,,1,,,1,,852.96
862.15,22.99,1,3,2,thin,1,,,1,,,,1,,,,1,,,,1,,,1,,862.15
877.90,24.67,1,3,1,lift,1,1,,,,,,1,,,,1,,,,,,,1,,877.90
882.10,24.99,1,3,1,hold,1,,,,,,,,,,,1,,,,,,1,,,882.10
889.27,25.83,1,3,1,lift,1,1,,,,,,1,,,1,1,,,,,,,1,,889.27
896.77,26.67,1,3,1,lift,1,1,,,,,,1,,,,1,,,,,,,1,,896.77
900.65,26.99,1,3,1,hold,1,,,,,,,,,,,1,,,,,,1,,,900.65
908.39,27.83,1,3,1,lift,1,1,,,,,,1,,,1,1,,,,1,,,1,,908.39
917.70,28.83,1,3,1,lift,1,1,,,,,,1,,,1,1,,,,1,,,1,,917.70
926.23,29.83,1,3,1,lift,1,1,,,,,,1,,,1,1,,,,,1,,1,,926.02
933.67,30.67,1,3,1,lift,1,1,,,,,,1,,,,1,,,,1,,,1,,933.40
940.56,31.33,1,3,1,lift,1,1,,,,,,,,,,1,,,,1,,,1,,940.40
943.87,31.67,1,3,1,release,1,1,,,,,,1,,,,1,,,,1,,,1,,943.65
953.66,32.5,1,3,1,fade,1,1,,,,,,,,,,1,,,,1,,,0,,953.66
1037.04,42.91,1,3,1,stretch,,,1,1,1,,,1,,,,1,,,,1,,,1,,1036.56
1116.46,52,1,3,1,release,,,1,1,,,,1,1,1,,1,,,,,1,,0,,1115.84
1121.64,52.5,1,3,1,place,,,1,1,,,,,,1,1,1,,,,1,,,1,,1121.25
1131.96,53.5,1,3,1,place,,,1,1,,,,,,1,1,1,,,,1,,,1,,1131.46
1137.36,54,1,3,0,place,,,1,,,,,1,,1,1,1,1,,,1,,,1,,1136.96
1148.28,54.83,1,3,1,release,,,1,1,1,1,,1,,,1,1,1,1,,,,,0,,1148.28
1152.88,55,1,3,1,end,1,,,,,,,,,,,,,,,,,,,1,1152.88
1175.52,1.67,1,4,1,trade,,,1,1,,1,,1,,,,1,,,,,1,,1,,1175.25
1188.50,3.67,1,4,1,trade,,,1,1,,1,,1,,,1,1,,,,,1,,1,,1188.21
1198.53,5.33,1,4,1,halt,1,1,,,,,,,,,,,,,,,1,1,1,,1198.53
1204.58,6.33,1,4,1,stop,1,1,,,,,,,,,,,,,,,1,,1,,1204.58
